iState  State   lambda/nm    fe     S^2
1:    Singlet-A   502.99   0.8028   0.000
2:    Singlet-A   402.09   0.0001   0.000
3:    Singlet-A   358.33   0.2524   0.000
4:    Singlet-A   348.05   0.2398   0.000
5:    Singlet-A   322.63   0.0000   0.000
6:    Singlet-A   306.44   0.0306   0.000
7:    Singlet-A   304.83   0.0000   0.000
8:    Singlet-A   290.84   0.0188   0.000
9:    Singlet-A   287.31   0.2087   0.000
10:   Singlet-A   272.53   0.0029   0.000
11:   Singlet-A   266.28   0.0003   0.000
12:   Singlet-A   262.50   0.0631   0.000
13:   Singlet-A   248.40   0.0000   0.000
14:   Singlet-A   239.39   0.0139   0.000
15:   Singlet-A   233.51   0.0016   0.000
16:   Singlet-A   231.40   0.0101   0.000
17:   Singlet-A   229.78   0.0053   0.000
18:   Singlet-A   228.70   0.0001   0.000
19:   Singlet-A   226.42   0.0372   0.000
20:   Singlet-A   222.93   0.0002   0.000
21:   Singlet-A   218.82   0.0135   0.000
22:   Singlet-A   217.14   0.0264   0.000
23:   Singlet-A   212.85   0.0107   0.000
24:   Singlet-A   209.23   0.0001   0.000
25:   Singlet-A   208.28   0.0429   0.000
26:   Singlet-A   208.14   0.0053   0.000
27:   Singlet-A   202.80   0.0819   0.000
28:   Singlet-A   200.18   0.0574   0.000
29:   Singlet-A   198.39   0.0079   0.000
30:   Singlet-A   198.15   0.1044   0.000
